"aou","year","num_observation"
"03940",2018,4706
"03940",2019,4359
"03940",2021,4895
"03940",2022,4944
"04070",2000,1652
"04070",2001,1812
"04070",2002,1873
"04070",2003,1892
"04070",2004,1377
"04070",2005,1507
"04070",2006,1562
"04070",2007,1461
"04070",2008,1577
"04070",2009,1684
"04070",2010,1318
"04070",2011,1217
"04070",2012,1795
"04070",2013,1919
"04070",2014,1967
"04070",2015,1766
"04070",2016,1817
"04070",2017,1668
"04070",2018,1590
"04070",2019,1704
"04070",2021,1808
"04070",2022,1790
"04230",2000,11389
"04230",2001,11270
"04230",2002,11597
"04230",2003,10474
"04230",2004,10114
"04230",2005,11163
"04230",2006,7609
"04230",2007,8441
"04230",2008,8629
"04230",2009,8816
"04230",2010,9234
"04230",2011,9158
"04230",2012,8407
"04230",2013,7794
"04230",2014,8199
"04230",2015,8599
"04230",2016,8104
"04230",2017,8464
"04230",2018,7973
"04230",2019,7535
"04230",2021,6445
"04230",2022,6049
"04240",2000,188
"04240",2001,230
"04240",2002,223
"04240",2003,183
"04240",2004,291
"04240",2005,230
"04240",2006,158
"04240",2007,168
"04240",2008,141
"04240",2009,155
"04240",2010,167
"04240",2011,137
"04240",2012,173
"04240",2013,188
"04240",2014,131
"04240",2015,138
"04240",2016,159
"04240",2017,150
"04240",2018,175
"04240",2019,118
"04240",2021,83
"04240",2022,159
"04770",2000,22215
"04770",2001,21411
"04770",2002,22743
"04770",2003,20548
"04770",2004,20113
"04770",2005,21688
"04770",2006,20773
"04770",2007,22782
"04770",2008,22177
"04770",2009,21765
"04770",2010,22992
"04770",2011,23660
"04770",2012,22139
"04770",2013,22199
"04770",2014,20855
"04770",2015,21552
"04770",2016,23364
"04770",2017,22742
"04770",2018,21671
"04770",2019,21516
"04770",2021,21211
"04770",2022,19924
"04880",2000,84146
"04880",2001,82794
"04880",2002,78565
"04880",2003,74409
"04880",2004,68545
"04880",2005,70612
"04880",2006,71787
"04880",2007,72051
"04880",2008,69939
"04880",2009,74771
"04880",2010,76177
"04880",2011,76958
"04880",2012,78388
"04880",2013,71181
"04880",2014,68220
"04880",2015,70825
"04880",2016,70759
"04880",2017,69193
"04880",2018,62092
"04880",2019,54714
"04880",2021,55628
"04880",2022,56967
"04910",2000,674
"04910",2001,587
"04910",2002,553
"04910",2003,748
"04910",2004,668
"04910",2005,620
"04910",2006,647
"04910",2007,601
"04910",2008,567
"04910",2009,544
"04910",2010,557
"04910",2011,419
"04910",2012,475
"04910",2013,654
"04910",2014,582
"04910",2015,517
"04910",2016,661
"04910",2017,604
"04910",2018,497
"04910",2019,419
"04910",2021,490
"04910",2022,529
"04920",2000,1832
"04920",2001,1471
"04920",2002,985
"04920",2003,1241
"04920",2004,1589
"04920",2005,1069
"04920",2006,1347
"04920",2007,852
"04920",2008,834
"04920",2009,914
"04920",2010,1043
"04920",2011,694
"04920",2012,1065
"04920",2013,873
"04920",2014,837
"04920",2015,1386
"04920",2016,947
"04920",2017,1271
"04920",2018,1076
"04920",2019,879
"04920",2021,812
"04920",2022,728
"07550",2000,9635
"07550",2001,9154
"07550",2002,8687
"07550",2003,7674
"07550",2004,8631
"07550",2005,8531
"07550",2006,8631
"07550",2007,8852
"07550",2008,8565
"07550",2009,7940
"07550",2010,8004
"07550",2011,6199
"07550",2012,6780
"07550",2013,6436
"07550",2014,7163
"07550",2015,7560
"07550",2016,7861
"07550",2017,7627
"07550",2018,7430
"07550",2019,7754
"07550",2021,7543
"07550",2022,7595
"07571",2000,1
"07571",2001,1
"07571",2002,3
"07571",2003,1
"07571",2004,1
"07571",2007,2
"07571",2009,1
"07571",2010,1
"07571",2011,1
"07571",2017,1
"07580",2000,11899
"07580",2001,12460
"07580",2002,11164
"07580",2003,11940
"07580",2004,13101
"07580",2005,12014
"07580",2006,12439
"07580",2007,13626
"07580",2008,12208
"07580",2009,11796
"07580",2010,13565
"07580",2011,12243
"07580",2012,12549
"07580",2013,13198
"07580",2014,14253
"07580",2015,15801
"07580",2016,15469
"07580",2017,16453
